Wall time,Step,Reward,Length
1702118234,3000,-987.3775024,39.28947449
1702118236,3500,-990.0953979,39.94252777
1702118241,5500,-990.0875854,43.79999924
1702118242,6000,-990.1782837,44.88999939
1702118245,7000,-994.2000122,45.93999863
1702118246,7500,-995.9805298,44.74000168
1702118247,8000,-994.0613403,44.68000031
1702118250,9000,-990.5831909,42.59999847
1702118251,9500,-991.5101929,41.75999832
1702118253,10000,-990.4595337,41.52999878
1702118254,10500,-990.4967651,40.74000168
1702118259,12500,-988.4021606,39.18000031
1702118271,17000,-991.5419312,40.79000092
1702118272,17500,-993.6015015,41.43999863
1702118275,18500,-993.8352051,42.75999832
1702118279,20000,-993.7162476,42.84000015
1702118280,20500,-994.7874146,43.25
1702118283,21500,-988.621521,43.15999985
1702118286,22500,-986.5951538,43.02000046
1702118287,23000,-983.574585,42.54000092
1702118290,24000,-981.539856,43.34999847
1702118292,25000,-980.685791,44.40999985
1702118293,25500,-982.8939819,44.59999847
1702118297,27000,-986.9628906,44.79999924
1702118299,27500,-987.0622559,45.11999893
1702118300,28000,-990.1376343,44.65000153
1702118301,28500,-990.0280151,44.40000153
1702118303,29000,-990.0396118,44.54000092
1702118306,30500,-985.1711426,44.68999863
1702118308,31000,-986.2453003,44.56000137
1702118310,32000,-986.1541138,45.58000183
1702118313,33000,-984.2607422,45.91999817
1702118314,33500,-986.295166,45.61999893
1702118316,34000,-989.2982178,45.68999863
1702118317,34500,-993.4219971,45.36000061
1702118321,36000,-993.4584351,45.36999893
1702118322,36500,-997.5167847,45.08000183
1702118324,37000,-995.5663452,45.5
1702118325,37500,-998.4581909,45.81000137
1702118327,38500,-996.4423828,45.75
1702118331,40000,-999.5165405,47.25
1702118339,42500,-1002.658997,48.20000076
1702118340,43000,-1001.666809,48.36000061
1702118341,43500,-1000.695862,48.11999893
1702118343,44000,-1001.595398,47.13000107
1702118344,44500,-998.5541992,47.00999832
1702118345,45000,-994.4796753,47.29999924
1702118352,47500,-990.7195435,45.74000168
1702118363,51500,-998.3844604,47.52999878
1702118367,53000,-992.2768555,47.75999832
1702118368,53500,-990.1483154,47.63999939
1702118377,57000,-997.7113647,47.52000046
1702118381,58500,-997.0214233,47.43999863
1702118384,59500,-996.8903198,47
1702118385,60000,-992.7163086,46.75999832
1702118386,60500,-991.7796021,47.13000107
1702118392,62500,-991.2631226,46.45000076
1702118394,63000,-989.175354,46.88000107
1702118395,63500,-986.0413208,46.74000168
1702118399,65000,-990.1340942,48.5
1702118400,65500,-990.2087402,48.43999863
1702118404,67000,-985.5001831,49.95999908
1702118410,69000,-981.3761597,47.79999924
1702118412,70000,-979.2385254,47
1702118415,71000,-980.0820313,46.31000137
1702118416,71500,-981.1323853,46.06999969
1702118417,72000,-984.0060425,46.13999939
1702118419,72500,-983.9408569,46.08000183
1702118424,74500,-983.8980713,45.75
1702118427,75500,-988.9516602,45.59999847
1702118431,77000,-986.0633545,46.04000092
1702118432,77500,-986.1512451,46.61999893
1702118433,78000,-987.1421509,46.56999969
1702118436,79000,-982.2476807,47.25999832
1702118437,79500,-979.2394409,47.22999954
1702118439,80000,-979.3886719,47.68999863
1702118443,81500,-982.3079834,47.54999924
1702118445,82500,-981.1446533,47.15000153
1702118447,83000,-981.2312622,47.54999924
1702118450,84000,-984.1414795,47.22000122
1702118451,84500,-988.1393433,47
1702118455,86000,-991.5109863,48.61000061
1702118462,88500,-992.5319214,47.70999908
1702118463,89000,-988.5923462,47.54999924
1702118465,89500,-982.6853027,47.83000183
1702118468,90500,-982.557312,46.5
1702118470,91000,-983.4395142,46.09000015
1702118473,92000,-981.397522,46.34999847
1702118476,93000,-979.2921143,46.68999863
1702118478,93500,-984.2883911,46.77000046
1702118479,94000,-981.1727905,46.79000092
1702118481,94500,-985.0723267,46.70000076
1702118484,95500,-981.0302124,46.74000168
1702118485,96000,-984.1565552,46.90999985
1702118496,99500,-986.2115479,46.77999878
1702118501,101500,-992.2276611,47.20999908
1702118507,103500,-991.2088623,46.93999863
1702118508,104000,-992.2679443,47.09999847
1702118510,104500,-992.2454834,47.04000092
1702118515,106500,-984.1275024,46.61999893
1702118519,108000,-987.022644,46.59999847
1702118524,109500,-985.795105,45.84000015
1702118525,110000,-984.717041,45.77000046
1702118529,111500,-986.05896,47.65999985
1702118531,112000,-980.0361938,47.41999817
1702118533,113000,-974.8004761,47.40000153
1702118535,113500,-973.7658081,47.38000107
1702118536,114000,-974.7957153,47.54999924
1702118539,115000,-975.7480469,47.45000076
1702118540,115500,-974.5056763,45.90999985
1702118543,116500,-974.3441162,45.5
1702118544,117000,-969.4547119,45.50999832
1702118545,117500,-968.5531006,45.36999893
1702118549,119000,-965.5712891,45.29999924
1702118554,120500,-969.7085571,45.79999924
1702118561,123000,-971.8475342,46.47000122
1702118563,124000,-973.8668823,46.41999817
1702118566,125000,-975.8687744,46.65000153
1702118568,125500,-978.9345093,46.59000015
1702118575,128000,-983.1295166,46.72000122
1702118579,129500,-980.9753418,47.04999924
1702118580,130000,-978.960083,47.04000092
1702118582,130500,-979.9876709,46.86999893
1702118583,131000,-979.8161621,47.31000137
1702118586,132000,-981.7749634,47.09999847
1702118591,134000,-980.5528564,47.02999878
1702118594,135000,-978.461792,47.06999969
1702118597,136000,-983.6246338,46.54999924
1702118600,137000,-980.7008057,47.04000092
1702118607,139500,-979.7720947,46.18999863
1702118610,140500,-981.7467651,46.18999863
1702118615,142500,-983.8706055,46.72999954
1702118622,145000,-983.9848633,46.68000031
1702118625,146000,-981.9259033,45.99000168
1702118626,146500,-982.8684082,46.04999924
1702118631,148000,-975.9418945,46.45999908
1702118633,149000,-974.8134155,46.29000092
1702118635,149500,-975.8225708,46.34999847
1702118636,150000,-973.8669434,46.88000107
1702118639,151000,-973.9092407,47.13000107
1702118640,151500,-970.9404297,47.47000122
1702118642,152000,-974.8219604,46.86999893
1702118647,154000,-975.8040161,46.77000046
1702118649,154500,-976.6881714,46.20000076
1702118652,155500,-978.7092896,45.54999924
1702118656,157000,-987.96698,45.65000153
1702118661,159000,-988.2910156,46.54999924
1702118663,159500,-990.3203125,47.16999817
1702118664,160000,-983.2119141,47.31999969
1702118666,160500,-981.4399414,49.02000046
1702118668,161500,-979.3915405,49.04000092
1702118673,163000,-977.0128784,49.24000168
1702118674,163500,-978.1987915,49.79000092
1702118675,164000,-975.2393188,50.36999893
1702118680,165500,-974.3174438,50.27000046
1702118681,166000,-975.3612061,49.90999985
1702118684,167000,-971.3880615,49.61000061
1702118692,170000,-977.3348999,49.45999908
1702118695,171000,-983.2617188,49.36999893
1702118699,172500,-978.1019287,48.52000046
1702118700,173000,-981.0912476,48.27000046
