Wall time,Step,Value,Value
1702160832,3000,-989.210144,38.28205109
1702160834,3500,-989.715271,38.10988998
1702160839,5500,-989.2990112,38.52999878
1702160841,6000,-990.2819824,38.38999939
1702160843,7000,-996.3153076,38.36999893
1702160845,7500,-997.1895752,38.52999878
1702160846,8000,-998.0316162,38.47999954
1702160849,9000,-996.180542,39.20000076
1702160850,9500,-994.1560059,39.18999863
1702160852,10000,-993.1375122,39.27999878
1702160853,10500,-990.1314697,39.25999832
1702160859,12500,-989.1975098,39.93999863
1702160871,17000,-995.1622314,44.34000015
1702160873,17500,-986.1586914,44.70999908
1702160875,18500,-982.2171631,44.97999954
1702160880,20000,-984.1719971,45.02999878
1702160881,20500,-987.3436279,45.40000153
1702160884,21500,-981.3364868,45.5
1702160887,22500,-985.5639648,45.93999863
1702160888,23000,-988.8251953,47.13999939
1702160891,24000,-986.3062134,50.83000183
1702160893,25000,-986.338623,55.31000137
1702160895,25500,-983.463562,57.22999954
1702160899,27000,-984.6434326,66.98999786
1702160900,27500,-985.0844727,68.66999817
1702160901,28000,-975.7592163,72.41999817
1702160903,28500,-976.4628296,75.01000214
1702160904,29000,-979.3502808,78.48000336
1702160908,30500,-979.7027588,85.37000275
1702160909,31000,-978.852356,88.61000061
1702160912,32000,-976.1275024,91.76000214
1702160915,33000,-972.4155884,97.62999725
1702160916,33500,-974.4749146,98.66999817
1702160917,34000,-973.7087402,97.41000366
1702160919,34500,-964.0248413,99.40000153
1702160923,36000,-959.0743408,96.47000122
1702160924,36500,-960.0125122,98.84999847
1702160925,37000,-950.6633911,101.9199982
1702160927,37500,-947.2501221,100.7200012
1702160930,38500,-952.0858765,99.27999878
1702160934,40000,-943.005249,101.7900009
1702160940,42500,-934.9532471,102.7600021
1702160941,43000,-937.0553589,101.5199966
1702160943,43500,-933.0305176,102.9700012
1702160944,44000,-934.1043091,103.2200012
1702160945,44500,-939.982605,102.3899994
1702160947,45000,-941.0950317,102.9800034
1702160954,47500,-923.6705933,102.5299988
1702160964,51500,-883.4957886,106.9599991
1702160968,53000,-857.9866333,109.8700027
1702160969,53500,-858.7680664,111.1600037
1702160979,57000,-861.0812988,112.9700012
