Wall time,Step,reward,length
1701463182,2048,-981.1330566,43
1701463184,4096,-985.7111816,42.26041794
1701463187,6144,-992.6757813,42.95000076
1701463190,8192,-990.3239136,42.29000092
1701463193,10240,-982.2213135,41.20000076
1701463196,12288,-988.4486084,41.79999924
1701463199,14336,-987.741272,42.27999878
1701463202,16384,-975.3174438,43.79999924
1701463205,18432,-976.0089722,43.09999847
1701463207,20480,-987.8776855,42.34000015
1701463210,22528,-984.8081055,43.29000092
1701463213,24576,-983.6107178,42.90999985
1701463216,26624,-984.6908569,42.02999878
1701463219,28672,-975.4727783,41.65999985
1701463221,30720,-985.5679321,42.66999817
1701463224,32768,-995.7054443,42.68999863
1701463227,34816,-992.4858398,41.27000046
1701463229,36864,-988.803772,43.40000153
1701463232,38912,-990.9008179,44.66999817
1701463235,40960,-988.3428345,42.43000031
1701463237,43008,-981.7172852,43.38999939
1701463240,45056,-980.2902222,45.04999924
1701463243,47104,-985.369812,47.25
1701463245,49152,-982.7781982,48.52000046
1701463248,51200,-974.4602051,47.77999878
1701463251,53248,-977.7461548,48.70999908
1701463254,55296,-981.7568359,47.90000153
1701463256,57344,-986.7819214,48.79999924
1701463259,59392,-985.4376831,47.47999954
1701463262,61440,-979.8974609,48.25999832
1701463265,63488,-969.847168,48.06000137
1701463267,65536,-965.4086304,52.72000122
1701463270,67584,-960.7580566,53.18999863
1701463273,69632,-966.4004517,53.61999893
1701463275,71680,-980.5130615,56.18000031
1701463278,73728,-985.2389526,57.84000015
1701463281,75776,-988.7001953,60.91999817
1701463283,77824,-989.2261353,64.54000092
1701463286,79872,-980.4593506,66.37000275
1701463288,81920,-978.4535522,68.26000214
1701463291,83968,-973.7263794,70.05999756
1701463294,86016,-969.6792603,73.95999908
1701463296,88064,-957.3154297,79.44000244
1701463299,90112,-955.1754761,84.91000366
1701463302,92160,-941.4455566,91.98000336
1701463304,94208,-938.9196777,92.62000275
1701463307,96256,-940.425415,96.44000244
1701463309,98304,-949.50354,96.43000031
1701463312,100352,-969.831604,91.26000214
1701463315,102400,-927.0582275,96.30999756
1701463318,104448,-909.383667,104.1100006
1701463321,106496,-900.8136597,112.6699982
1701463324,108544,-890.3363037,119.6200027
1701463327,110592,-880.1384888,122.3399963
1701463329,112640,-848.1915283,132.3999939
1701463332,114688,-805.0608521,145.1900024
1701463335,116736,-768.8652954,152.3500061
1701463338,118784,-732.760498,159
1701463341,120832,-687.737915,165.5099945
1701463345,122880,-633.8119507,171.7299957
1701463348,124928,-585.1893921,175.6699982
1701463351,126976,-503.3471985,182.7899933
1701463354,129024,-427.1012573,191.1300049
1701463356,131072,-353.3878784,201.1100006
1701463359,133120,-279.7658081,207.0200043
1701463362,135168,-215.5652161,209.2799988
1701463365,137216,-204.2509918,211.7299957
1701463367,139264,-143.5882721,216.3200073
1701463370,141312,-109.5005951,217.4400024
1701463373,143360,-41.14473343,222.0099945
1701463375,145408,-5.0725317,223.9700012
1701463378,147456,67.34153748,228.8200073
1701463380,149504,97.77317047,231.1100006
1701463383,151552,98.31671906,228.1999969
1701463386,153600,135.9028168,230.1300049
1701463389,155648,139.3669128,231.3699951
1701463391,157696,179.9873199,234.6799927
1701463394,159744,202.598587,235
1701463397,161792,239.2835846,235.3600006
1701463400,163840,258.5955811,235.3600006
1701463402,165888,277.84375,236.3899994
1701463405,167936,279.8130798,236.0500031
1701463408,169984,304.9550476,236.0500031
1701463411,172032,327.9801941,236.0500031
1701463414,174080,359.3569031,237.5299988
1701463417,176128,388.9872437,238.9600067
1701463419,178176,429.2542725,239.6600037
1701463422,180224,466.2783203,239.6600037
1701463425,182272,459.552124,238.6499939
1701463428,184320,466.0747375,237.0599976
1701463430,186368,492.1333008,237.0599976
1701463433,188416,511.4875488,237.0599976
1701463436,190464,548.3344116,237.3999939
1701463439,192512,560.5237427,237.3999939
1701463441,194560,566.8944092,237.3999939
1701463444,196608,575.8601685,237.3999939
1701463447,198656,581.6477051,237.3999939
1701463449,200704,596.1563721,237.3999939
1701463452,202752,604.8671265,237.3999939
