Wall time,Step,Reward,Length
1702121113,2048,-990.4940186,40.77999878
1702121118,4096,-988.1262817,41.86597824
1702121124,6144,-984.7435303,42.56999969
1702121129,8192,-988.0582886,43.49000168
1702121135,10240,-989.4216919,45.04999924
1702121141,12288,-992.4622803,45.77999878
1702121146,14336,-986.4893799,44.97999954
1702121151,16384,-985.7050171,45.31000137
1702121157,18432,-992.8988037,45.84999847
1702121163,20480,-998.5504761,45.22999954
1702121169,22528,-999.4567261,45.00999832
1702121175,24576,-995.4599609,45.22000122
1702121180,26624,-996.4692993,46.49000168
1702121186,28672,-992.4657593,46.95999908
1702121191,30720,-984.3157349,46.41999817
1702121197,32768,-989.2836914,48.04000092
1702121203,34816,-986.6416626,48.84000015
1702121208,36864,-985.8610229,48.63000107
1702121214,38912,-993.322998,49.90999985
1702121219,40960,-994.0950928,50.52000046
1702121224,43008,-994.1154785,50.56999969
1702121229,45056,-991.7824707,52.04000092
1702121681,47104,-991.4594116,51.81999969
1702121688,49152,-988.963562,52.90999985
1702121692,51200,-980.6799927,53
1702121696,53248,-977.8609009,55.02000046
1702121701,55296,-986.0328369,60.09000015
1702121705,57344,-989.0163574,63.86999893
1702121710,59392,-985.8727417,65.61000061
1702121714,61440,-980.2261963,70.43000031
1702121719,63488,-972.9935303,75.58999634
1702121723,65536,-969.4347534,79.58000183
1702121728,67584,-967.1604614,86.93000031
1702121733,69632,-954.4393921,93.13999939
1702121738,71680,-956.7612305,99.73000336
1702121744,73728,-948.3459473,105.4599991
1702121749,75776,-936.3827515,112.8000031
1702121755,77824,-936.1815186,119.9599991
1702121760,79872,-917.4865112,126.6800003
1702121766,81920,-890.0523682,134.4299927
1702121772,83968,-882.6386719,141.1999969
1702121777,86016,-869.5808105,144.5399933
1702121783,88064,-818.0108643,152.9299927
1702121788,90112,-784.2312012,161.7899933
1702121794,92160,-745.0863037,165.8699951
1702121799,94208,-728.8661499,167.3600006
1702121805,96256,-705.510376,168.8399963
1702121810,98304,-664.9946899,172.9900055
1702121816,100352,-640.2230835,173.2200012
1702121821,102400,-596.9693604,176.8999939
1702121826,104448,-542.6462402,183.7700043
1702121832,106496,-565.9266968,179.8300018
