Wall time,Step,Value,Value
1702150994,181,-983.9459839,45.25
1702150998,340,-959.0137329,42.5
1702151004,646,-964.828186,40.375
1702151008,794,-973.5387573,39.70000076
1702151012,936,-974.9241943,39
1702151015,1069,-975.9780273,38.17856979
1702151018,1191,-976.7901001,37.21875
1702151022,1324,-980.3501587,36.77777863
1702151025,1452,-975.5340576,36.29999924
1702151029,1583,-978.5510864,35.97727203
1702151032,1721,-976.8574829,35.85416794
1702151036,1845,-979.2568359,35.48077011
1702151040,1986,-977.7890015,35.4642868
1702151044,2122,-978.1444092,35.36666489
1702151048,2259,-978.4505615,35.296875
1702151052,2404,-980.2510376,35.35293961
1702151056,2565,-981.8005371,35.625
1702151062,2761,-980.7012329,36.32894897
1702151066,2917,-979.6201172,36.46250153
1702151071,3089,-979.8201904,36.77381134
1702151075,3246,-978.8753662,36.88636398
1702151079,3385,-977.9667358,36.79347992
1702151082,3520,-978.147644,36.66666794
1702151089,3730,-978.4026489,37.29999924
1702151094,3887,-978.3860474,37.06000137
1702151099,4061,-980.3612061,37.20999908
1702151105,4258,-982.357666,37.68000031
1702151124,4716,-983.6488647,39.22000122
1702151135,4975,-984.8070068,40.38999939
1702151149,5293,-983.9650879,42.24000168
1702151162,5575,-983.0230103,43.84000015
1702151181,6005,-980.4711304,46.81000137
1702151201,6459,-972.0114136,50.06999969
1702151217,6814,-968.0985718,52.31000137
1702151245,7445,-968.6315918,57.24000168
1702151273,8063,-957.6733398,62.18000031
1702151296,8576,-958.0414429,65.90000153
1702151335,9481,-929.8700562,73.58999634
1702151369,10256,-922.0250244,79.97000122
1702151431,11681,-893.7663574,91.16000366
1702151466,12510,-875.3498535,97.48999786
1702151507,13470,-836.7836914,105.5299988
1702151548,14430,-797.2446289,113.4100037
1702151590,15390,-761.7416992,121.4400024
1702151616,16002,-754.1486816,126.1699982
1702151650,16798,-723.9923096,132.7799988
1702151691,17758,-687.1431885,140.2799988
1702151727,18631,-666.3651733,147.4400024
1702151764,19511,-645.3917847,154.5
1702151803,20429,-613.0170898,161.7100067
1702151843,21389,-573.3535767,169.25
1702151883,22330,-551.7139282,176.1399994
1702151919,23188,-519.6315918,182.1300049
1702151960,24148,-479.3199768,188.5500031
1702151995,24981,-451.6014099,194.0599976
1702152037,25941,-413.164856,199.3600006
1702152077,26901,-385.6193542,204.4199982
1702152118,27861,-349.052002,210.4700012
1702152159,28821,-310.675354,213.7599945
1702152198,29744,-292.7744751,216.8099976
1702152238,30704,-255.8977966,221.2799988
1702152279,31664,-246.8772125,221.8300018
1702152319,32624,-216.0655212,223.6799927
1702152361,33584,-183.5757904,225.75
1702152402,34544,-161.9867554,228.6300049
1702152443,35504,-142.9710236,229.9400024
1702152486,36464,-142.3672028,229.9400024
1702152529,37424,-141.8416595,229.9400024
1702152569,38384,-137.4861755,229.9400024
1702152610,39344,-107.9394989,233.4199982
1702152653,40304,-98.78140259,235.0599976
1702152697,41264,-94.72954559,235.0599976
1702152738,42224,-73.58174896,235.9299927
1702152779,43184,-51.65856934,236.7299957
1702152821,44144,-44.25013733,237.1499939
1702152861,45104,-42.33274841,237.1499939
1702152902,46064,-20.84016037,237.3399963
1702152942,47024,-11.3900919,238.3600006
1702152984,47984,-13.8255167,238.3600006
1702153024,48944,-1.415647984,239.6300049
1702153066,49904,0.128145307,239.6300049
1702153103,50864,2.290227652,239.6300049
1702153140,51824,4.751063824,239.6300049
1702153178,52784,7.470423222,239.6300049
