Wall time,Step,Value,Value
1702112997,170,-1008.751282,42.5
1702112999,318,-983.6599731,39.75
1702113002,637,-971.4295044,39.8125
1702113004,806,-978.8458252,40.29999924
1702113005,990,-984.901123,41.25
1702113007,1147,-981.3919678,40.9642868
1702113009,1314,-984.7094116,41.0625
1702113011,1469,-984.5267334,40.80555725
1702113012,1604,-981.8136597,40.09999847
1702113014,1754,-979.5725708,39.86363602
1702113016,1901,-981.9765015,39.60416794
1702113017,2027,-983.9523926,38.98077011
1702113019,2195,-985.7141113,39.19643021
1702113021,2379,-987.4259644,39.65000153
1702113023,2530,-982.5046997,39.53125
1702113025,2667,-983.9882813,39.22058868
1702113026,2800,-985.2870483,38.88888931
1702113028,2916,-985.1546021,38.36841965
1702113029,3048,-986.2542725,38.09999847
1702113031,3178,-987.27771,37.83333206
1702113032,3306,-987.0728149,37.56818008
1702113034,3434,-987.9602661,37.32608795
1702113036,3574,-988.7922974,37.22916794
1702113038,3716,-989.5513916,37.15999985
1702113040,3848,-989.5133057,36.77999878
1702113043,4026,-990.4685669,37.08000183
1702113045,4186,-990.4591064,37.16999817
1702113050,4461,-989.3158569,36.54999924
1702113053,4606,-988.9954224,36.15999985
1702113055,4750,-990.9124146,36.02999878
1702113057,4898,-989.9116211,35.84000015
1702113059,5040,-989.8675537,35.70999908
1702113061,5189,-990.8937378,35.84999847
1702113066,5505,-992.9348145,36.04000092
1702113068,5670,-989.9423828,36.43000031
1702113071,5824,-987.8970337,36.29000092
1702113073,5980,-983.7247925,36.00999832
1702113076,6127,-986.6919556,35.97000122
1702113081,6421,-985.7019043,36.20999908
1702113084,6571,-985.6864624,36.54999924
1702113087,6713,-981.6819458,36.65000153
1702113089,6853,-981.6633911,36.75
1702113091,6989,-982.6678467,36.83000183
1702113094,7137,-982.6512451,37.02999878
1702113097,7278,-980.6364136,37.04000092
1702113099,7423,-978.6324463,37.06999969
1702113102,7553,-976.5773926,37.04999924
1702113105,7700,-975.5958862,36.74000168
1702113108,7842,-976.5309448,36.56000137
1702113110,7983,-979.5854492,36.68999863
1702113113,8135,-979.5990601,36.74000168
1702113116,8288,-978.6398315,36.81999969
1702113119,8433,-977.5841675,36.83000183
1702113122,8594,-977.5980835,36.95999908
1702113126,8745,-975.586731,37.04999924
1702113130,8954,-976.5871582,37.65000153
1702113133,9114,-975.5608521,37.66999817
1702113136,9271,-972.5057373,37.65999985
1702113139,9452,-975.5415649,37.81999969
1702113142,9624,-977.6143799,38
1702113145,9792,-981.6437988,38.11999893
1702113148,9948,-982.6735229,38.20999908
1702113154,10204,-983.9998779,39.29999924
1702113157,10368,-984.0648804,39.47000122
1702113162,10633,-984.4413452,40.61999893
1702113165,10802,-985.4859619,40.88999939
1702113172,11161,-984.6793823,41.72000122
1702113177,11365,-983.8543091,42.27999878
1702113180,11580,-986.0311279,43.02000046
1702113185,11876,-988.3742676,44.52999878
1702113192,12207,-989.7958374,46.54000092
1702113198,12720,-979.5317993,50.20000076
1702113208,13062,-978.9708862,52.20000076
1702113217,13540,-978.583374,55.56999969
1702113223,13804,-977.8583984,56.68999863
1702113228,14052,-976.8424683,57.63999939
1702113232,14264,-976.9875488,58.31000137
1702113238,14589,-978.34552,59.95000076
1702113251,15305,-975.4591675,63.50999832
1702113257,15584,-975.4705811,64.69999695
1702113266,15949,-977.6087036,66.77999878
1702113273,16280,-974.760376,68.27999878
1702113282,16724,-974.0372925,71
1702113293,17417,-952.7613525,76.25
1702113305,17761,-952.7590942,78.12999725
1702113323,18473,-941.0377197,82.69000244
1702113345,19394,-910.5368652,90.26000214
1702113386,20354,-865.4493408,97.20999908
1702113428,21242,-837.0088501,104.4000015
1702113476,22193,-805.7105103,112.0599976
1702113525,23153,-762.4332275,119.9199982
1702113574,24113,-723.2663574,127.4800034
1702113620,25073,-683.4298096,134.9299927
1702113655,26033,-643.5445557,141.5700073
1702113686,26993,-604.4979858,147.8600006
1702113712,27953,-576.3161621,152.3300018
1702113736,28913,-538.1323242,158.5099945
1702113765,29873,-501.7440186,163.3300018
1702113803,30833,-463.8223572,170.2899933
1702113835,31793,-424.3607178,177.4100037
1702113861,32753,-384.5198059,184.8899994
1702113884,33713,-342.6278992,191.2400055
1702113908,34673,-301.5142822,198.1399994
1702113936,35624,-271.9377136,203.1900024
1702113968,36387,-250.8988037,208.0299988
1702113987,37107,-232.8934326,211.5800018
1702114016,37944,-206.4044952,216.6399994
1702114047,38859,-185.6243134,221.3500061
1702114080,39819,-166.5150757,224.0200043
1702114113,40698,-138.5307922,229.3699951
1702114145,41658,-108.4738693,231.8500061
1702114178,42592,-108.6367111,231.9799957
1702114213,43552,-109.2953796,231.9799957
1702114247,44512,-100.852272,232.6999969
1702114281,45380,-97.3852005,231.8699951
1702114312,46327,-105.7546387,231.7400055
1702114346,47287,-96.2331543,231.7400055
1702114382,48247,-94.44961548,231.7400055
1702114432,49207,-87.27677917,231.7400055
1702114474,50167,-82.75112152,231.7400055
1702114513,51127,-78.86264038,231.7400055
1702114552,52087,-70.72925568,231.7400055
1702114607,54007,-64.94696808,231.7400055
1702114628,54809,-94.19309998,230.1600037
1702114654,55769,-88.26773071,230.1600037
1702114699,57412,-130.5606537,227.3899994
1702114724,58372,-102.911377,227.4799957
1702114777,60184,-70.89875031,230.7700043
1702114802,61144,-49.64538574,232
1702114827,62104,-25.06558228,232.4499969
1702114852,63064,-18.62524986,232.4499969
1702114877,64024,6.492300987,233.2599945
1702114901,64965,0.940303922,233.0700073
1702114926,65925,20.20599747,233.3300018
1702114951,66885,25.73086166,233.3300018
1702114977,67845,33.07552338,233.3300018
1702115003,68805,47.52577972,234.25
1702115028,69765,65.13451385,234.3800049
1702115078,71685,75.62580109,234.3800049
1702115103,72645,79.17317963,234.3800049
1702115128,73605,86.3894577,234.3800049
1702115154,74565,101.8419647,234.3800049
1702115205,76485,118.3104324,234.3800049
1702115232,77445,128.9278717,234.3800049
1702115259,78405,168.277359,235.9600067
1702115284,79365,176.8916016,235.9600067
1702115310,80325,214.1887512,237.9499969
1702115336,81285,242.9891968,238.7299957
1702115361,82245,234.8781281,238.7299957
1702115388,83205,264.8030396,239.8099976
1702115420,84165,267.849884,239.8099976
1702115449,85125,276.0467529,239.8099976
1702115478,86085,284.7751465,239.8099976
1702115506,87045,293.6589661,239.8099976
1702115533,88005,295.1995544,239.8099976
1702115561,88925,306.7756958,239.6000061
1702115589,89885,309.6733398,239.6000061
1702115618,90845,313.8379517,239.6000061
1702115646,91805,316.8021851,239.6000061
1702115705,93725,322.5089111,239.6000061
1702115734,94685,322.7332153,239.6000061
1702115766,95645,332.4619751,239.6000061
1702115827,97565,348.9191895,239.6000061
1702115859,98525,350.8935852,239.6000061
1702115892,99485,360.3834839,239.6000061
1702115926,100445,371.8467102,239.6000061
1702115994,102365,380.0591431,239.6000061
1702116030,103325,384.7168579,239.6000061
1702116065,104285,389.913147,239.6000061
1702116096,105245,394.1821899,239.6000061
1702116117,106205,400.9790649,239.6000061
1702116137,107165,406.8830872,239.6000061
1702116157,108125,417.4376526,239.6000061
1702116176,109085,415.0212402,239.6000061
1702116195,110045,420.3015747,239.6000061
1702116212,110863,410.1407776,238.1799927
1702116232,111823,416.3328247,238.1799927
1702116251,112783,427.6202393,238.5800018
1702116309,115663,449.3537903,238.5800018
1702116387,119503,460.6410217,238.5800018
1702116407,120463,466.1739807,238.5800018
1702116427,121423,467.93396,238.5800018
1702116447,122383,468.1412048,238.5800018
1702116466,123343,474.2208862,238.5800018
1702116487,124303,468.3922424,238.5800018
1702116527,126223,481.7651062,238.5800018
1702116547,127183,479.1754456,238.5800018
1702116567,128143,489.0587158,238.5800018
1702116587,129103,496.1977539,238.5800018
1702116606,130063,503.197052,238.5800018
1702116646,131983,506.210022,238.5800018
1702116665,132943,511.0996704,238.5800018
1702116685,133903,518.9337158,238.5800018
1702116705,134863,532.0667114,240
1702116724,135823,523.3615723,240
1702116744,136783,525.3209229,240
1702116764,137743,532.4002075,240
1702116783,138703,532.3273926,240
1702116803,139663,533.4783325,240
1702116822,140623,537.1643066,240
1702116842,141583,538.8145142,240
1702116861,142543,544.5176392,240
1702116881,143503,550.7103271,240
1702116920,145423,551.8361816,240
1702116940,146383,557.7131958,240
1702116960,147343,554.5853882,240
1702117000,149263,579.4766235,240
1702117020,150223,574.4121094,240
1702117039,151183,584.0073853,240
1702117059,152143,584.1348267,240
1702117079,153103,581.9932861,240
1702117099,154063,577.652832,240
1702117118,155023,582.8138428,240
1702117158,156943,584.314209,240
1702117177,157903,587.3599854,240
1702117197,158863,591.3112793,240
1702117217,159823,606.9634399,240
1702117236,160783,612.1040649,240
1702117256,161743,609.0789795,240
1702117276,162703,613.1733398,240
1702117296,163663,620.3859253,240
1702117316,164623,624.5281372,240
1702117336,165583,628.6063232,240
1702117355,166543,630.5490723,240
1702117375,167503,630.4046021,240
1702117395,168463,632.4107666,240
1702117415,169423,632.3795166,240
1702117434,170383,625.1997681,240
1702117454,171343,628.2772217,240
1702117474,172303,628.0859375,240
1702117493,173263,617.9777222,240
1702117514,174223,614.9329224,240
1702117533,175183,614.8777466,240
1702117573,177103,618.7174072,240
1702117593,178063,622.9915161,240
1702117613,179023,627.9905396,240
1702117632,179983,629.9771118,240
1702117673,181903,626.0162354,240
1702117693,182863,628.2821045,240
1702117714,183823,632.4620972,240
1702117754,185743,637.6312256,240
1702117774,186703,643.5927124,240
1702117794,187663,639.5457153,240
1702117834,189583,646.4768677,240
1702117854,190543,647.4898682,240
1702117874,191503,640.2428589,240
1702117894,192463,644.3725586,240
1702117914,193423,645.3614502,240
1702117934,194383,652.5710449,240
1702117954,195343,653.5080566,240
1702117974,196303,653.5632935,240
1702117994,197263,655.5369873,240
1702118014,198223,661.6873169,240
1702118033,199183,661.6341553,240
1702118053,200143,651.7241211,240
1702118073,201103,654.5601196,240
1702118093,202063,653.3187256,240
1702118112,203023,646.1633301,240
1702118151,204943,652.2216187,240
1702118188,206863,661.961792,240
1702118232,208783,659.5300903,240
1702118262,209743,657.5119019,240
1702118291,210703,658.5718384,240
1702118321,211663,661.5252075,240
1702118353,212623,660.4994507,240
1702118383,213583,662.6959229,240
1702118414,214543,665.6854858,240
1702118444,215503,676.1394653,240
1702118481,216463,677.0236206,240
1702118518,217423,680.1846924,240
1702118549,218383,684.026001,240
1702118580,219343,687.9832764,240
1702118609,220303,687.9562378,240
1702118638,221263,688.015625,240
1702118725,224143,710.6884155,240
1702118753,225103,711.84729,240
1702118782,226063,717.0674438,240
1702118811,227023,723.3040161,240
1702118840,227983,724.3087158,240
1702118897,229903,721.2489014,240
1702118926,230863,721.3792114,240
1702118955,231823,721.5083618,240
1702118984,232783,720.6856689,240
1702119012,233743,719.6642456,240
1702119041,234703,720.6900024,240
1702119070,235663,718.6408691,240
1702119098,236623,724.7651978,240
1702119127,237583,734.8251343,240
1702119156,238543,733.737793,240
1702119185,239503,733.4015503,240
1702119213,240463,724.0797119,240
1702119242,241423,730.0684814,240
1702119271,242383,733.2855225,240
1702119299,243343,736.4293823,240
1702119328,244303,742.6560669,240
1702119356,245263,752.7504883,240
1702119385,246223,739.6668701,240
1702119414,247183,742.8873291,240
1702119471,249103,743.15802,240
1702119529,251023,751.1688232,240
1702119558,251983,759.4087524,240
1702119587,252943,767.3662109,240
1702119615,253903,766.203125,240
1702119644,254863,764.1663208,240
1702119674,255823,755.8959351,240
1702119703,256783,758.8876343,240
1702119731,257743,764.9743042,240
