#{"t_start": 1702236991.7148774, "env_id": null}
r,l,t
-1009.039719,33,0.037807
-1008.144879,59,0.05839
-1007.247363,36,0.525155
-1005.557247,39,1.160679
-1009.25323,48,1.940611
-1007.978534,30,2.405367
-1008.45412,35,2.943948
-1010.743406,36,3.49469
-1009.493117,36,4.100374
-1005.797494,35,4.651197
-1007.615511,35,5.202867
-1005.500025,30,5.67854
-1004.899896,29,6.151669
-1012.906362,42,6.826202
-1009.215653,41,7.470318
-908.758379,48,8.212283
-1014.542013,52,9.087028
-1010.607623,44,9.779878
-1011.463293,35,10.35535
-1006.626477,28,10.815344
-1010.491498,34,11.483289
-1007.753762,33,12.035098
-1009.13824,46,12.786196
-1010.9958,42,13.50123
-1006.612988,42,14.218563
-1007.379181,33,14.763716
-1024.771534,66,15.978659
-1028.42142,88,17.593963
-1006.237508,25,18.07157
-1010.913936,38,18.786719
-909.299048,31,19.364418
-1008.137509,29,19.907374
-1006.05516,32,20.508386
-1005.175613,29,21.041192
-1008.279641,28,21.564497
-1006.347599,29,22.101688
-1006.140385,29,22.648177
-1006.383198,27,23.16146
-1006.394531,26,23.642702
-1006.912763,32,24.229899
-1004.122507,25,24.693022
-907.432177,28,25.204798
-1006.14284,26,25.685687
-1006.741107,34,26.322288
-905.642471,25,26.808749
-1011.673843,38,27.520521
-1005.570933,25,27.992798
-1006.428672,26,28.471413
-1007.098351,33,29.07804
-907.341334,38,29.774928
-707.17217,38,30.510479
-1007.116764,38,31.202193
-1007.774168,31,31.791183
-908.845517,36,32.455225
-1007.803947,32,33.029829
-1009.030851,30,33.573601
-1008.437932,32,34.157372
-1006.418617,35,34.800477
-1009.349006,30,35.344673
-1008.996014,30,35.899382
-1008.749579,29,36.441503
-1008.434803,31,37.022865
-1008.904982,30,37.594296
-1008.986892,30,38.141309
-1009.057214,39,38.854625
-1007.023347,29,39.404557
-1009.373868,30,39.9612
-1008.547857,33,40.561371
-1006.949972,35,41.213284
-1009.50956,37,41.89438
-1008.986399,30,42.448256
-1008.164753,32,43.045089
-1006.684811,37,43.726706
-1009.343529,32,44.335449
-1008.769154,36,44.985276
-1007.469959,36,45.6493
-1008.115268,31,46.239101
-1006.754149,33,46.868229
-1005.883261,31,47.443731
-907.132782,36,48.119896
-1007.026596,37,48.791363
-907.642214,37,49.491283
-1008.485071,32,50.084225
-1008.915234,33,50.700387
-1006.751864,35,51.363984
-1007.442776,34,51.991498
-1008.31334,35,52.61854
-1007.060289,34,53.251169
-1009.813881,33,53.875058
-1008.573818,31,54.435242
-1007.632771,38,55.133712
-1006.608052,37,55.812232
-1008.049221,32,56.429218
-1007.544368,34,57.063613
-1007.166542,33,57.694715
-1008.510802,32,58.292857
-1007.838666,32,58.899695
-1007.608728,36,59.572228
-1008.529669,37,60.242701
-907.299958,33,60.881352
-1008.231007,33,61.489771
-1007.922978,35,62.150259
-1008.82606,33,62.772379
-1008.701854,33,63.408648
-1009.499175,34,64.050197
-1007.127984,35,64.696601
-910.592442,33,65.329773
-1006.940262,36,66.007902
-1006.337698,35,66.660028
-1008.920316,37,67.324539
-1007.536817,38,68.026126
-1008.74924,33,68.626512
-1008.882609,34,69.255207
-1009.938885,36,69.915882
-1009.976207,34,70.555315
-1007.0688,35,71.197612
-1007.07094,37,71.879592
-1006.068874,34,72.518323
-1008.172391,37,73.20709
-1005.644963,31,73.767131
-1007.975895,34,74.391235
-907.664117,34,75.028849
-1006.948257,35,75.682806
-1008.486816,35,76.319627
-1007.803561,34,76.95321
-1006.52276,35,77.626116
-1008.747326,34,78.257561
-908.58652,48,79.133674
-1008.745848,37,79.818019
-1007.17369,35,80.452713
-1008.853396,31,81.017709
-1007.121021,33,81.621347
-909.890146,48,82.529161
-709.196052,45,83.375077
-1007.533467,38,84.073814
-908.72156,35,84.719733
-1007.375154,34,85.337331
-1010.694153,50,86.254088
-606.458644,54,87.264962
-1007.181338,46,88.128823
-1010.738912,56,89.185223
-1009.059969,35,89.840401
-1009.583273,60,90.935113
-1007.294015,33,91.540382
-1008.249336,57,92.599525
-1009.062838,54,93.694279
-908.928704,53,94.756903
-1010.868521,51,95.696908
-1009.711642,51,96.657396
-1011.856792,43,97.442667
-810.516098,46,98.295128
-1009.608632,51,99.26949
-1017.982356,74,100.62807
-907.558915,49,101.555106
-1008.808022,54,102.541211
-1008.148462,53,103.539741
-1007.496118,50,104.486411
-1008.089668,37,105.176856
-1010.646652,34,105.809703
-1010.34406,39,106.547929
-1025.50979,82,108.06649
-1012.717174,57,109.124068
-1010.154648,59,110.213594
-907.693343,53,111.196579
-1025.175666,69,112.468638
-812.060376,68,113.744238
-907.152773,43,114.5341
-1013.418998,51,115.47259
-907.575784,41,116.214719
-1011.707875,46,117.060822
-1007.378264,45,117.911114
-805.403873,37,118.603276
-1008.990867,44,119.422244
-907.53919,49,120.33936
-1014.626944,63,121.503062
-1010.646699,55,122.525166
-1006.22934,45,123.395571
-1028.474905,96,125.265592
-1014.735229,60,126.381564
-1006.110925,50,127.335364
-1014.647262,92,129.113683
-1010.162948,62,130.318728
-912.093918,87,131.966686
-1025.416588,92,133.676921
-910.693219,58,134.764122
-906.52753,48,135.642038
-904.983661,48,136.535236
-1017.010421,67,137.775661
-913.4179,72,139.129922
-1043.849158,126,141.495621
-1011.536844,82,143.000128
-1013.689745,58,144.126782
-1017.289974,92,145.853746
-809.879631,74,147.231532
-906.483305,45,148.04668
-806.26485,59,149.160677
-907.250122,63,150.324444
-1012.079468,72,151.648564
-1043.301318,106,153.615659
-1013.164505,73,154.957364
-920.328242,67,156.209872
-909.191004,47,157.057735
-1013.649647,82,158.611211
-1020.52261,101,160.495078
-911.155061,72,161.855609
-912.287726,61,162.978429
-1035.447458,105,164.955617
-913.544119,62,166.121951
-1029.512764,91,167.809438
-909.292671,45,168.662656
-1031.334993,85,170.251347
-910.34169,44,171.058351
-1040.236209,117,173.226947
-915.147719,87,174.841038
-1045.977377,143,177.555031
-1018.350504,67,178.914956
-1012.592322,68,180.346379
-1035.229683,100,182.35518
-911.800368,65,183.650949
-913.438142,53,184.727151
-1017.742987,91,186.570095
-1010.063446,52,187.642537
-1014.541628,99,189.68405
-1028.595342,93,191.459255
-1030.139066,109,193.574962
-1008.855334,67,194.851013
-921.291925,113,197.018636
-1016.584748,97,198.828964
-1010.718673,79,200.295404
-1035.917927,109,202.307517
-910.157064,40,203.044899
-1027.690616,99,204.884673
-1010.432128,70,206.223583
-813.090111,79,207.718072
-908.360481,54,208.738883
-913.814286,52,209.701536
-842.985572,130,212.117023
-1030.386525,113,214.188488
-1029.95497,118,216.379264
-916.723453,104,218.36827
-1005.912481,36,219.046943
-1022.97121,71,220.364977
-924.799394,106,222.327391
-937.820949,111,224.379819
-1027.584488,163,227.414856
-1049.411736,137,229.962589
-1035.093506,175,233.214701
-716.166539,127,235.551708
-911.490851,57,236.606252
-1025.602025,75,237.999902
-1030.156633,100,239.843791
-1026.070792,89,241.475941
-1025.779118,81,242.98118
-26.811887,240,247.399642
-910.948558,48,248.27494
-1028.308533,90,249.946713
-1008.326988,54,250.947492
-1034.704434,186,254.467934
-1030.017084,90,256.162173
-1031.127476,102,258.061414
